City,Date,AQI,PM2.5,PM10,NO2
Delhi,2023-01-01,171.4,67.6,140.7,37.4
Delhi,2023-01-02,123.7,53.7,75.3,11.6
Delhi,2023-01-03,,75.6,154.1,57.5
Delhi,2023-01-04,139.3,71.3,83.9,37.1
Delhi,2023-01-05,211.9,80.8,188.0,18.2
Delhi,2023-01-06,166.3,86.4,129.9,45.7
Delhi,2023-01-07,214.1,116.6,152.8,17.3
Delhi,2023-01-08,73.1,38.2,56.5,30.9
Delhi,2023-01-09,174.8,71.3,109.1,35.6
Delhi,2023-01-10,183.0,87.3,129.8,46.9
Delhi,2023-01-11,151.8,81.6,120.6,47.5
Delhi,2023-01-12,151.5,58.0,108.1,34.2
Delhi,2023-01-13,265.6,129.3,226.5,38.6
Delhi,2023-01-14,,77.2,127.2,29.3
Delhi,2023-01-15,214.8,88.7,171.1,74.8
Delhi,2023-01-16,74.5,30.0,50.2,60.3
Delhi,2023-01-17,136.6,72.3,98.3,35.6
Delhi,2023-01-18,219.8,80.9,135.0,91.0
Delhi,2023-01-19,245.1,106.5,151.7,53.4
Delhi,2023-01-20,32.9,17.9,28.2,73.8
Delhi,2023-01-21,275.6,126.1,187.4,41.7
Delhi,2023-01-22,161.5,71.2,143.1,34.4
Delhi,2023-01-23,213.4,82.3,186.5,31.8
Delhi,2023-01-24,214.7,101.3,138.7,30.8
Delhi,2023-01-25,185.9,84.8,111.6,21.4
Delhi,2023-01-26,174.7,91.8,148.4,42.7
Delhi,2023-01-27,172.7,93.2,108.1,44.8
Delhi,2023-01-28,157.4,79.2,100.5,40.5
Delhi,2023-01-29,105.1,55.1,76.4,42.9
Delhi,2023-01-30,197.8,77.2,137.2,58.1
Delhi,2023-01-31,266.9,121.0,169.8,39.3
Delhi,2023-02-01,188.6,74.7,125.6,53.5
Delhi,2023-02-02,256.4,136.2,220.0,49.1
Delhi,2023-02-03,219.9,86.4,140.7,44.8
Delhi,2023-02-04,251.7,127.6,212.0,32.3
Delhi,2023-02-05,189.9,82.6,140.5,46.3
Delhi,2023-02-06,168.2,62.2,121.2,17.8
Delhi,2023-02-07,116.5,45.2,85.6,65.3
Delhi,2023-02-08,137.2,73.4,100.6,45.7
Delhi,2023-02-09,228.8,125.8,194.7,25.5
Delhi,2023-02-10,314.5,120.5,234.5,33.4
Delhi,2023-02-11,193.7,82.5,173.5,54.8
Delhi,2023-02-12,170.0,73.9,150.8,66.1
Delhi,2023-02-13,256.4,97.7,176.7,39.5
Delhi,2023-02-14,257.4,128.6,158.9,36.1
Delhi,2023-02-15,118.8,45.3,105.5,31.1
Delhi,2023-02-16,213.7,103.7,143.3,44.6
Delhi,2023-02-17,272.0,127.5,213.7,61.6
Delhi,2023-02-18,110.6,59.4,73.1,49.7
Delhi,2023-02-19,170.7,82.7,117.8,29.2
Delhi,2023-02-20,139.5,61.6,125.5,62.9
Delhi,2023-02-21,203.4,82.0,179.0,39.9
Delhi,2023-02-22,270.4,103.2,229.9,19.0
Delhi,2023-02-23,156.2,75.1,94.1,20.2
Delhi,2023-02-24,200.7,107.9,128.5,28.5
Delhi,2023-02-25,201.4,81.5,157.4,44.7
Delhi,2023-02-26,171.8,69.2,128.3,30.1
Delhi,2023-02-27,276.1,120.0,188.6,23.7
Delhi,2023-02-28,283.0,113.9,232.7,40.6
Delhi,2023-03-01,,43.8,103.7,34.9
Delhi,2023-03-02,242.0,112.9,156.0,29.3
Delhi,2023-03-03,215.9,109.9,185.3,49.2
Delhi,2023-03-04,213.2,79.0,177.8,33.9
Delhi,2023-03-05,225.7,86.0,198.4,29.8
Delhi,2023-03-06,288.2,151.7,175.1,9.2
Delhi,2023-03-07,175.5,89.6,150.8,26.6
Delhi,2023-03-08,197.6,73.4,170.3,29.0
Delhi,2023-03-09,206.8,91.4,143.0,31.7
Delhi,2023-03-10,,74.7,134.2,29.7
Delhi,2023-03-11,283.1,135.4,203.8,10.5
Delhi,2023-03-12,253.9,94.7,226.3,37.8
Delhi,2023-03-13,246.7,91.7,180.2,74.6
Delhi,2023-03-14,173.0,78.2,123.8,27.1
Delhi,2023-03-15,139.2,48.8,122.2,34.7
Delhi,2023-03-16,87.1,42.2,61.8,34.3
Delhi,2023-03-17,260.2,107.4,222.3,49.4
Delhi,2023-03-18,170.4,73.6,122.8,27.6
Delhi,2023-03-19,171.1,92.1,137.4,47.5
Delhi,2023-03-20,248.0,114.0,148.8,28.1
Delhi,2023-03-21,165.4,79.5,122.3,55.5
Delhi,2023-03-22,141.1,74.8,118.4,43.7
Delhi,2023-03-23,192.2,91.6,134.6,45.5
Delhi,2023-03-24,221.7,87.6,146.3,17.3
Delhi,2023-03-25,224.4,116.7,139.5,41.7
Delhi,2023-03-26,107.3,52.5,80.3,50.8
Delhi,2023-03-27,,91.7,152.3,61.9
Delhi,2023-03-28,229.5,124.3,173.4,49.8
Delhi,2023-03-29,223.2,98.5,187.6,43.5
Delhi,2023-03-30,91.8,49.6,79.6,1.3
Delhi,2023-03-31,107.3,55.4,82.0,24.5
Delhi,2023-04-01,259.1,104.1,174.7,25.1
Delhi,2023-04-02,113.7,54.0,77.6,20.5
Delhi,2023-04-03,223.5,92.5,170.3,45.8
Delhi,2023-04-04,208.1,102.2,128.9,48.3
Delhi,2023-04-05,117.2,45.9,85.1,50.3
Delhi,2023-04-06,245.7,128.1,203.9,28.8
Delhi,2023-04-07,175.2,87.7,150.0,41.1
Delhi,2023-04-08,239.9,110.2,187.4,35.5
Delhi,2023-04-09,187.8,66.8,131.6,50.4
Delhi,2023-04-10,153.7,68.2,98.1,26.2
Delhi,2023-04-11,169.9,78.6,103.3,37.6
Delhi,2023-04-12,159.8,57.5,114.1,33.7
Delhi,2023-04-13,192.7,82.1,159.1,53.0
Delhi,2023-04-14,202.5,71.7,154.3,30.0
Delhi,2023-04-15,235.7,119.3,187.5,40.0
Delhi,2023-04-16,183.9,65.1,118.7,3.3
Delhi,2023-04-17,242.6,95.5,196.5,55.9
Delhi,2023-04-18,183.9,91.9,116.7,31.0
Delhi,2023-04-19,245.5,87.2,170.3,4.8
Delhi,2023-04-20,113.4,55.9,70.6,6.1
Delhi,2023-04-21,149.3,75.3,127.7,20.4
Delhi,2023-04-22,155.4,78.7,109.4,35.5
Delhi,2023-04-23,128.0,53.5,109.4,46.3
Delhi,2023-04-24,192.4,91.8,163.3,33.6
Delhi,2023-04-25,163.0,88.5,111.0,24.5
Delhi,2023-04-26,206.7,90.4,169.4,22.6
Delhi,2023-04-27,166.5,61.2,143.9,69.1
Delhi,2023-04-28,182.6,77.8,111.1,56.8
